Key,Value
about_internal_strings,This string table collection stores text that was hard-coded in FALL.EXE and text unique to Daggerfall Unity.
StoresA,"%ef's
%cn's Best
The Essential
Lord %ef's
The Adventurer's
The Odd
%ef's Finest
Bargain
Vintage
The Emperor's
%cn
%ef's General
The Superior
%ef's Quality
First Class
The %rt's
The Champion
Doctor %ef's
Lady %ef's
The Royal
The Prestigious
The Fair
The Worthy
The Noble's
The Trusty
The Valued
The Beloved
The Lordly
The Greater
The Major
The Superb
The Magnificent
The Shining
The Golden
The Blessed
The Prime"
GeneralStoresB,"Supplies
Supply Store
Gear
Gear Store
Equipment
Equipment Store
Sundries
Provisions
Merchandise
General Store
Retail Store
Trading Post
Market
Wares
Warehouse
Goods
Necessities
Storehouse
Stockpile
Vendor
Finds
Repository
Trading Company
Trader
General Goods
Emporium
Mart
Imports
Stuff"
WeaponStoresB,"Weapons
Weaponry
Arms
Armaments
Arsenal
Armsmaker
Blades
Blacksmith
Metalsmith
Weaponsmith
Hammers
Arrows
Cleavers
Axes
Grindstone"
ArmorStoresB,"Armory
Mail
Shielding
Armor
Shields
Aegis
Metalworks
Blacksmith
Metalsmith
Armorer
Smith
Smithy
Cuirasses
Pauldrons
Greaves
Helms
Breatplates
Gauntlets
Brigandines
Protection
Forge
Tannery
Ironworks
Foundry
Bucklers
Anvil"
BookStoresB,"Books
Bookstore
Bookshop
Book Dealer
Book Center
Bookseller
Bookstall
Incunabula
Printings
Editions
Tomes
Volumes
Codex
Codices
Compendium
Encyclopedias
Publications
Texts
Manuscripts
Treatises
Quill
Anthology
Scholar
Scribe
Tomehouse
Pages
Shelves
Bindings
Folios"
LibraryStoresB,"Library
Bookroom
Athenaeum
Public Library
Historians
Bookroom
Seminary
Lyceum
Archives
Scriptorium
Manuscriptarium
Repository
Lorehouse
Records"
ClothingStoresB,"Clothing
Clothes
Garments
Apparel
Costumes
Vestments
Attire
Fashion
Tailoring
Outfits
Finery
Needle
Robes
Raiment
Veils
Silks
Mantles
Wardrobe
Linens
Garbs
Fabric
Regalia
Dresser
Millinery
Stitchery
Clothier
Fittings
Wearables
Needlework
Seamstress
Hats
Looms
Rags
Threads
Vesture"
AlchemyStoresB,"Herbs
Potherbs
Spices
Remedies
Antidotes
Physics
Medicines
Potions
Tinctures
Medicaments
Elixirs
Pharmacy
Apothecary
Unguents
Medicinal Agents
Herb Garden
Pharmaceuticals
Chemistry
Chemicals
Experimental Products
Alchemistry
Alchemical Solutions
Metallurgy
Crucible
Mortars and Pestles
Alembics
Flasks
Mixtures
Brews
Still
Cauldrons
Vials
Essences
Draughts
Mixes
Infusions
Concoctions
Arcanums
Carafe
Phials
Aromatics
Cures
Retorts
Admixtures"
Alchemical Goods
Tonics
Salves"
GemStoresB,"Gems
Gemstones
Jewelry
Jewels
Precious Stones
Bijoutry
Jewelers
Jewel Box
Jewelry Shop
Gemcutter
Crystals
Emerald
Lode
Rings
Amulets
Lockets
Stones
Pendants"
PawnStoresB,"Pawnshop
Pawnbrokers
Used Supplies
Used Gear
Used Equipment
Used Merchandise
Hockshop
Antiquities
Resale
Forgotten Treasures
Exchange
Cache
Reserves
Stash
Trove
Findings
Racks
Curios
Fortunes
Relics
Rummage
Bargains
Hoard
Trinkets
Baubles"
FurnitureStoresB,"Furniture
Furnishings
Interior Design
Furniture Shop
Decor
Carpentry
Woodworking
Crafts
Woodwork
Millworks"
LivestockStoresB,"Livestock
Breeders
Farm Animals
Beasts
Creatures
Game
Animalia
Fauna
Menagerie"
TavernsA,"The Queen's
The King's
The Dirty
The Black
The Mole and
The Green
The Red
The Gold
The White
The Silver
The Crimson
The Flying
The Dancing
The Laughing
The Restless
The Thirsty
The Unfortunate
The Lucky
The Devil's
The Rusty
The Howling
The Screaming
The Bat and
The Lion and
The Lynx and
The Dwarf and
The Beaver and
The Fox and
The Mouse and
The Pig and
The Feather and
The Toad and
The Rat and
The Savage
The Knave and
The Dead
The Jumping
The Smiling
%ef's
The Angry
The Furious
The Happy
The Lusty
The Fearful
The Lovely
The Joyful
The Peaceful
The Lonely
The Gloomy
The Hopeless
The Lost
The Panicked
The Confused
